Datum;Uur;Aantal_check_ins
1-2-2023;10;173.6
1-2-2023;11;190
1-2-2023;12;236.9
1-2-2023;13;225.5
1-2-2023;14;253.9
1-2-2023;15;293.5
1-2-2023;16;325
1-2-2023;17;336.6
1-2-2023;18;201.7
1-2-2023;19;110
1-2-2023;20;83.1
1-2-2023;21;75.7
1-2-2023;22;66.1
1-2-2023;23;40.8
2-2-2023;0;12.9
2-2-2023;1;1
2-2-2023;2;0.4
2-2-2023;3;0.5
2-2-2023;4;1.7
2-2-2023;5;17.5
2-2-2023;6;100.7
2-2-2023;7;330.4
2-2-2023;8;412.5
2-2-2023;9;229.5
2-2-2023;10;176
2-2-2023;11;183.2
2-2-2023;12;222.7
2-2-2023;13;225.9
2-2-2023;14;268.2
2-2-2023;15;307.1
2-2-2023;16;345
2-2-2023;17;367.3
2-2-2023;18;226.7
2-2-2023;19;125.7
2-2-2023;20;96
2-2-2023;21;90.2
2-2-2023;22;78.8
2-2-2023;23;53.1
3-2-2023;0;17.6
3-2-2023;1;2
3-2-2023;2;0.9
3-2-2023;3;1.3
3-2-2023;4;2.4
3-2-2023;5;16.3
3-2-2023;6;78.3
3-2-2023;7;250.8
3-2-2023;8;316.6
3-2-2023;9;200.3
3-2-2023;10;173.1
3-2-2023;11;192.4
3-2-2023;12;240.6
3-2-2023;13;240
3-2-2023;14;275.3
3-2-2023;15;300
3-2-2023;16;304
3-2-2023;17;298.2
3-2-2023;18;221.5
3-2-2023;19;144.9
3-2-2023;20;110.6
3-2-2023;21;99.2
3-2-2023;22;94.6
3-2-2023;23;84.8
4-2-2023;0;42.1
4-2-2023;1;8.5
4-2-2023;2;3.6
4-2-2023;3;3.2
4-2-2023;4;3.5
4-2-2023;5;5.4
4-2-2023;6;15.1
4-2-2023;7;33.7
4-2-2023;8;64.6
4-2-2023;9;94.4
4-2-2023;10;114.4
4-2-2023;11;143.2
4-2-2023;12;167.2
4-2-2023;13;181.1
4-2-2023;14;181.4
4-2-2023;15;179
4-2-2023;16;181.2
4-2-2023;17;174.5
4-2-2023;18;142.4
4-2-2023;19;112
4-2-2023;20;92.4
4-2-2023;21;82.1
4-2-2023;22;85.1
4-2-2023;23;78.9
5-2-2023;0;43.1
5-2-2023;1;9.1
5-2-2023;2;4.2
5-2-2023;3;3.6
5-2-2023;4;4.1
5-2-2023;5;4.6
5-2-2023;6;5.4
5-2-2023;7;15.6
5-2-2023;8;33.3
5-2-2023;9;58
5-2-2023;10;78.2
5-2-2023;11;104.8
5-2-2023;12;125.2
5-2-2023;13;139.2
5-2-2023;14;138.9
5-2-2023;15;134.3
5-2-2023;16;136.3
5-2-2023;17;138.1
5-2-2023;18;115.3
5-2-2023;19;96
5-2-2023;20;80.9
5-2-2023;21;65.5
5-2-2023;22;51.7
5-2-2023;23;30.2
6-2-2023;0;8.9
6-2-2023;1;0.8
6-2-2023;2;0.3
6-2-2023;3;0.4
6-2-2023;4;1.3
6-2-2023;5;13.2
6-2-2023;6;72.3
6-2-2023;7;238.9
6-2-2023;8;313.7
6-2-2023;9;170.1
6-2-2023;10;131
6-2-2023;11;129.8
6-2-2023;12;158.9
6-2-2023;13;156.7
6-2-2023;14;185.1
6-2-2023;15;226.6
6-2-2023;16;261.7
6-2-2023;17;287
6-2-2023;18;163.3
6-2-2023;19;84.4
6-2-2023;20;60.1
6-2-2023;21;52
6-2-2023;22;44.2
6-2-2023;23;24.8
7-2-2023;0;7.6
7-2-2023;1;0.6
7-2-2023;2;0.3
7-2-2023;3;0.4
7-2-2023;4;1.2
7-2-2023;5;13.1
7-2-2023;6;76.6
7-2-2023;7;261.6
7-2-2023;8;341.3
7-2-2023;9;184.8
7-2-2023;10;135.2
7-2-2023;11;133.6
7-2-2023;12;165.6
7-2-2023;13;168.9
7-2-2023;14;199.3
7-2-2023;15;234.7
7-2-2023;16;271.2
7-2-2023;17;313
7-2-2023;18;184.3
7-2-2023;19;93.1
7-2-2023;20;66.1
7-2-2023;21;59.3
7-2-2023;22;49.4
7-2-2023;23;28.5
8-2-2023;0;8.2
8-2-2023;1;0.6
8-2-2023;2;0.4
8-2-2023;3;0.3
8-2-2023;4;1.1
8-2-2023;5;12.2
8-2-2023;6;66.8
8-2-2023;7;220.9
8-2-2023;8;292.4
8-2-2023;9;169.3
8-2-2023;10;131.2
8-2-2023;11;137
8-2-2023;12;171.3
8-2-2023;13;169.3
8-2-2023;14;188.6
8-2-2023;15;223.7
8-2-2023;16;254.3
8-2-2023;17;276.1
8-2-2023;18;171.6
8-2-2023;19;94.3
8-2-2023;20;68.5
8-2-2023;21;62.3
8-2-2023;22;55.5
8-2-2023;23;35.3
9-2-2023;0;11.2
9-2-2023;1;0.8
9-2-2023;2;0.4
9-2-2023;3;0.5
9-2-2023;4;1.1
9-2-2023;5;12.9
9-2-2023;6;74
9-2-2023;7;250.5
9-2-2023;8;332
9-2-2023;9;183.4
9-2-2023;10;138.6
9-2-2023;11;137
9-2-2023;12;169
9-2-2023;13;170.3
9-2-2023;14;195.2
9-2-2023;15;239.5
9-2-2023;16;273.9
9-2-2023;17;300.2
9-2-2023;18;186.6
9-2-2023;19;103
9-2-2023;20;75
9-2-2023;21;74.2
9-2-2023;22;66.2
